# schema: astropy-2.0
# kmin kmax kavg power N_modes
0.38013271108436497 0.3832743037379548 0.3817246588975391 61.61405 22228
0.3832743037379548 0.38641589639154456 0.3848466716276332 60.64205 24406
0.38641589639154456 0.3895574890451344 0.3879825873700948 59.73778 22960
0.3895574890451344 0.39269908169872414 0.39114789443073733 59.315224 25594
0.39269908169872414 0.39584067435231396 0.3942601962487147 58.324947 23128
0.39584067435231396 0.3989822670059037 0.3973290941830777 57.372528 25742
0.3989822670059037 0.40212385965949354 0.4005346013598483 56.074123 25692
0.40212385965949354 0.40526545231308336 0.40367971132788966 55.846134 25862
0.40526545231308336 0.4084070449666731 0.406763029265572 55.543236 25576
0.4084070449666731 0.41154863762026295 0.4099697076996503 54.304153 28514
0.41154863762026295 0.4146902302738527 0.4131624780149427 53.184162 26304
0.4146902302738527 0.41783182292744253 0.41627831321643405 53.279545 28010
0.41783182292744253 0.4209734155810323 0.4193754221016665 52.41291 26840
0.4209734155810323 0.4241150082346221 0.42255248908360166 51.34734 30070
0.4241150082346221 0.4272566008882119 0.42569867071948725 50.83055 27268
0.4272566008882119 0.4303981935418017 0.4287994866413272 50.306076 30214
0.4303981935418017 0.43353978619539146 0.4319611336478267 48.67523 29024
0.43353978619539146 0.4366813788489813 0.43514560001242997 47.667416 31602
0.4366813788489813 0.43982297150257105 0.43827459406820296 48.370274 28952
0.43982297150257105 0.44296456415616087 0.44139292793689594 47.345024 32254
0.44296456415616087 0.44610615680975063 0.44452735078564753 46.40698 29916
0.44610615680975063 0.44924774946334045 0.44763303948580224 46.231766 32654
0.44924774946334045 0.4523893421169302 0.4507553684233238 45.78743 31392
0.4523893421169302 0.45553093477052004 0.45393903158044807 44.91644 34338
0.45553093477052004 0.4586725274241098 0.4570771831143556 44.40128 31696
0.4586725274241098 0.4618141200776996 0.4601989713230914 44.063908 34990
0.4618141200776996 0.4649557127312894 0.46338897258756895 43.68798 33828
0.4649557127312894 0.4680973053848792 0.4665685418833208 43.174717 35870
0.4680973053848792 0.471238898038469 0.46970545864208696 42.503162 33796
0.471238898038469 0.4743804906920588 0.4728140682387824 41.314484 36230
0.4743804906920588 0.4775220833456486 0.4759723043960954 40.941647 35528
0.4775220833456486 0.48066367599923837 0.4791149245338241 40.654526 37218
0.48066367599923837 0.4838052686528282 0.4822461935556863 39.72613 36192
0.4838052686528282 0.48694686130641796 0.48540896429154073 39.668667 38718
0.48694686130641796 0.4900884539600078 0.48854416474278156 39.391575 36572
0.4900884539600078 0.49323004661359754 0.4916499027262655 38.528316 39150
0.49323004661359754 0.49637163926718736 0.49477873443211884 38.488464 38072
0.49637163926718736 0.4995132319207771 0.49793004363074905 37.6167 40306
0.4995132319207771 0.5026548245743669 0.5010542276284619 37.2048 38744
0.5026548245743669 0.5057964172279568 0.5041783331696286 36.758068 41286
0.5057964172279568 0.5089380098815465 0.5073107246517451 36.597435 39804
0.5089380098815465 0.5120796025351363 0.5104815449677059 36.20728 43382
0.5120796025351363 0.5152211951887261 0.5136215362637454 35.62139 40264
0.5152211951887261 0.5183627878423159 0.5167738326970892 35.803074 44402
0.5183627878423159 0.5215043804959056 0.5199471059168039 35.17583 41832
0.5215043804959056 0.5246459731494955 0.5230808520176861 34.616505 44714
0.5246459731494955 0.5277875658030853 0.5262158193158967 34.006355 42776
0.5277875658030853 0.5309291584566751 0.5293496213882386 33.666687 45358
0.5309291584566751 0.5340707511102648 0.5324661666982293 33.421654 43772
0.5340707511102648 0.5372123437638546 0.5356279155190091 33.36625 47766
0.5372123437638546 0.5403539364174444 0.538792133964277 32.143417 44688
